Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,New City Nissan,2295 N King St,,Honolulu,HI,96819,,808-524-9111,E,,Public - Call ahead,Dealership business hours; open to Nissan Leafs only,,,,,,2,1,,,,200-9,21.335175,-157.88225,2018-05-03,39995,2019-01-17 00:33:46 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,King Windward Nissan,45-568 Kamehameha Hwy,,Kaneohe,HI,96744,,808-235-6433,E,,Public - Call ahead,Dealership business hours; open to Nissan Leaf's only,,,,,,1,1,,,,200-9,21.399116,-157.799326,2018-05-03,39997,2019-01-17 00:33:46 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Tony Nissan,94-1299 Ka Uka Blvd,,Waipahu,HI,96797,,808-680-7150,E,,Public - Call ahead,Dealership business hours; open to Nissan Leaf's only,,,,,,2,1,,,,200-8,21.42849,-157.998343,2018-05-03,39998,2019-01-17 00:33:46 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Grand Hyatt Kauai,1571 Poipu Rd,,Koloa,HI,96756,,808-742-1234,E,,Public,24 hours daily,,,,,,2,4,,,,200-8,21.876457,-159.44208,2018-05-03,46782,2019-01-17 00:33:46 UTC,P,,,2012-06-30,,,,,CHADEMO J1772,US,,,,Public,,public,,
ELEC,Wyndham Hotel,227 Lewers St,,Honolulu,HI,96815,,808-921-4400,E,,Public,24 hours daily; see valet for access,,,,,,,1,,,,200-9,21.279107,-157.830786,2018-05-03,49010,2019-01-17 00:33:46 UTC,P,,,2012-06-30,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Maui County Building,200 S High St,,Wailuku,HI,96793,,808-270-7203,E,,Public,24 hours daily; see Maui County Business Resource Center for key to activate charger,,,,,,1,1,,,,200-9,20.885375,-156.504221,2018-05-03,49021,2019-01-17 00:33:46 UTC,P,,,2012-09-21,,,,,CHADEMO J1772,US,,,,Public,,public,,
ELEC,Kaanapali Beach Hotel,2525 Kaanapali Pkwy,Located on the right hand side of the entrance to the hotel,Lahaina,HI,96761,,808-270-6802,E,,Public,"24 hours daily; must be a volunteer or member of JUMPSmartMaui.  Email info@jumpsmartmaui.com, call 808-270-6802, or visit http://www.jumpsmartmaui.com",,,,,,,4,,,,200-9,20.924151,-156.694049,2018-05-03,61226,2019-01-17 00:33:46 UTC,P,,,2014-03-31,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Ma`alaea Triangle,192 Maalaea Rd,Enter on Kapoli Street (Next to the Maui Golf and Sports Park). Head towards the Maui Ocean Center and the chargers will be on the right hand side next to the wall.,Wailuku,HI,96793,,808-270-6802,E,,Public,"24 hours daily; must be a volunteer or member of JUMPSmartMaui.  Email info@jumpsmartmaui.com, call 808-270-6802, or visit http://www.jumpsmartmaui.com",,,,,,,6,,,,200-9,20.792801,-156.512156,2018-05-03,61227,2019-01-17 00:33:46 UTC,P,,,2014-03-31,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Maui Tropical Plantation,1670 Honoapiilani Hwy,,Wailuku,HI,96793,,808-270-6802,E,,Public,"24 hours daily; must be a volunteer or member of JUMPSmartMaui.  Email info@jumpsmartmaui.com, call 808-270-6802, or visit http://www.jumpsmartmaui.com",,,,,,,4,,,,200-9,20.848047,-156.505225,2018-05-03,61228,2019-01-17 00:33:46 UTC,P,,,2013-11-04,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Piilani Village Shopping Center,225 Piikea Ave,,Kihei,HI,96753,,808-270-6802,E,,Public,"24 hours daily; must be a volunteer or member of JUMPSmartMaui.  Email info@jumpsmartmaui.com, call 808-270-6802, or visit http://www.jumpsmartmaui.com",,,,,,,4,,,,200-8,20.75106,-156.449107,2018-05-03,61229,2019-01-17 00:33:46 UTC,P,,,2014-03-31,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Queen Ka`ahumanu Center,275 W Kaahumanu Ave,,Kahului,HI,96732,,808-270-6802,E,,Public,"24 hours daily; must be a volunteer or member of JUMPSmartMaui.  Email info@jumpsmartmaui.com, call 808-270-6802, or visit http://www.jumpsmartmaui.com",,,,,,,4,,,,200-8,20.888757,-156.475334,2018-05-03,61230,2019-01-17 00:33:46 UTC,P,,,2014-03-31,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Waianae Mall Shopping Center,86-120 Farrington Hwy,,Waianae,HI,96792,,808-696-2690,E,,Public,24 hours daily,,,,,,2,2,,OpConnect,http://www.opconnect.com/,200-9,21.436631,-158.183902,2018-03-08,61240,2019-01-17 00:33:46 UTC,P,,,2013-08-08,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,
ELEC,Hope Chapel Maui,300 E Welakaho Rd,Located in the last row of the parking lot under the covering,Kihei,HI,96753,,808-879-3853,E,,Public,"24 hours daily; must be a volunteer or member of JUMPSmartMaui.  Email info@jumpsmartmaui.com, call 808-270-6802, or visit http://www.jumpsmartmaui.com",,,,,,,4,,,,200-9,20.737885,-156.446822,2018-05-03,68746,2019-01-17 00:33:46 UTC,P,,,2015-05-22,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,CVS Pharmacy - Kulamalu Center,55 Kiopaa St,The charging stations are located near the Kamehameha school football field.  It is also where the Upcountry Farmers Market is held.,Pukalani,HI,96768,,808-573-9300,E,,Public,24 hours daily,,,,,,,4,,,,200-8,20.822094,-156.330177,2018-05-03,68747,2019-01-17 00:33:46 UTC,P,,,2015-05-22,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Pukalani Terrace Center,55 Pukalani St,The charging station is located next to Bank of Hawaii and Ace Hardware store.,Pukalani,HI,96768,,808-572-5566,E,,Public,24 hours daily,,,,,,,4,,,,200-9,20.837739,-156.342492,2018-05-03,68748,2019-01-17 00:33:46 UTC,P,,,2015-05-22,,,,,CHADEMO,US,,,,Public,,public,,
